pdf_url,legislation_type,identifier
http://www.legislation.gov.uk/aep/Ja1/7/18/pdfs/aep_Ja170018_en.pdf,aep,Ja1/7/18
http://www.legislation.gov.uk/gbla/Geo3/38/1/pdfs/gbla_Geo3380001_en.pdf,gbla,Geo3/38/1
http://www.legislation.gov.uk/gbla/Geo3/38/10/pdfs/gbla_Geo3380010_en.pdf,gbla,Geo3/38/10
http://www.legislation.gov.uk/gbla/Geo3/38/11/pdfs/gbla_Geo3380011_en.pdf,gbla,Geo3/38/11
http://www.legislation.gov.uk/gbla/Geo3/38/12/pdfs/gbla_Geo3380012_en.pdf,gbla,Geo3/38/12
http://www.legislation.gov.uk/gbla/Geo3/38/13/pdfs/gbla_Geo3380013_en.pdf,gbla,Geo3/38/13
http://www.legislation.gov.uk/gbla/Geo3/38/14/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/38
http://www.legislation.gov.uk/gbla/Geo3/38/15/pdfs/gbla_Geo3380015_en.pdf,gbla,Geo3/38/15
http://www.legislation.gov.uk/gbla/Geo3/38/16/pdfs/gbla_Geo3380016_en.pdf,gbla,Geo3/38/16
http://www.legislation.gov.uk/gbla/Geo3/38/17/pdfs/gbla_Geo3380017_en.pdf,gbla,Geo3/38/17
http://www.legislation.gov.uk/gbla/Geo3/38/18/pdfs/gbla_Geo3380018_en.pdf,gbla,Geo3/38/18
http://www.legislation.gov.uk/gbla/Geo3/38/19/pdfs/gbla_Geo3380019_en.pdf,gbla,Geo3/38/19
http://www.legislation.gov.uk/gbla/Geo3/38/2/pdfs/gbla_Geo3380002_en.pdf,gbla,Geo3/38/2
http://www.legislation.gov.uk/gbla/Geo3/38/20/pdfs/gbla_Geo3380020_en.pdf,gbla,Geo3/38/20
http://www.legislation.gov.uk/gbla/Geo3/38/21/pdfs/gbla_Geo3380021_en.pdf,gbla,Geo3/38/21
http://www.legislation.gov.uk/gbla/Geo3/38/22/pdfs/gbla_Geo3380022_en.pdf,gbla,Geo3/38/22
http://www.legislation.gov.uk/gbla/Geo3/38/23/data.xml: database disk image is malformed. Response returned without caching.,gbla,Geo3/38
http://www.legislation.gov.uk/gbla/Geo3/38/24/pdfs/gbla_Geo3380024_en.pdf,gbla,Geo3/38/24
http://www.legislation.gov.uk/gbla/Geo3/38/25/pdfs/gbla_Geo3380025_en.pdf,gbla,Geo3/38/25
http://www.legislation.gov.uk/gbla/Geo3/38/26/pdfs/gbla_Geo3380026_en.pdf,gbla,Geo3/38/26
